run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit
P2_S2_B1_seed1002,S2,B1,1002,3,0.0003167554619835967,-6.803593277152373e-06,0.0003167554619835967,-6.803593277152373e-06,12.4,238.5,True,True,False,0,unknown
P2_S2_B1_seed1003,S2,B1,1003,3,0.0025051335198622523,-5.634040538273581e-05,0.0025051335198622523,-5.634040538273581e-05,12.8,195.3,False,False,False,0,unknown
P2_S2_B1_seed1004,S2,B1,1004,3,0.002469723094635235,-5.546486928651016e-05,0.002469723094635235,-5.546486928651016e-05,12.3,237.4,True,True,False,0,unknown
P2_S2_B1_seed1005,S2,B1,1005,3,0.003178140363027908,-7.216956435062081e-05,0.003178140363027908,-7.216956435062081e-05,14.1,199.6,False,False,False,0,unknown
P2_S2_B1_seed1006,S2,B1,1006,3,0.0007499261718511184,-1.656091957938654e-05,0.0007499261718511184,-1.656091957938654e-05,13.7,195.3,False,False,False,0,unknown
P2_S2_B1_seed1007,S2,B1,1007,3,0.003482442439319936,-7.94379240203448e-05,0.003482442439319936,-7.94379240203448e-05,15.1,199.1,False,False,False,0,unknown
P2_S2_B1_seed1008,S2,B1,1008,3,0.0025029929221659485,-5.6279605533981235e-05,0.0025029929221659485,-5.6279605533981235e-05,12.5,199.9,False,False,False,0,unknown
P2_S2_B1_seed1009,S2,B1,1009,3,0.000995928455605092,-2.213671576461732e-05,0.000995928455605092,-2.213671576461732e-05,12.5,195.6,False,False,False,0,unknown
P2_S2_B1_seed1010,S2,B1,1010,3,0.0010532626082831538,-2.334511999505789e-05,0.0010532626082831538,-2.334511999505789e-05,12.9,195.9,False,False,False,0,unknown
P2_S2_B2_seed1001,S2,B2,1001,3,1.3695147285134504e-06,-8.141500904966399e-08,1.3695147285134504e-06,-8.141500904966399e-08,11.4,187.5,False,False,False,0,unknown
P2_S2_B2_seed1002,S2,B2,1002,3,0.0007802597735235544,-1.728586622538984e-05,0.0007802597735235544,-1.728586622538984e-05,13.8,83.3,False,False,False,0,unknown
